id,text,label
CMT_00104,không b t sự vợ_chồng gì lấy be at của v cs t_ht không nhưng vừa mới_đây v vừa tu_g hết tất_cả be at anh làm cho gì không b t gì với đóm s rồi,non-toxic
CMT_00105,khâm_phục mày tâm_huyết_ghê mà vẫn tự_tin thế,toxic
CMT_00106,bs tú_dung nói_chuyện rất dễ_thương chúc bs co nhiều sức khỏe,non-toxic
CMT_00107,có ảnh nhạy_cảm xong là mày hết đường chạy,toxic
CMT_00108,các công_ty nước_ngoài dời khỏi trung_quốc gần hết rồi theo khảo_sát của fan trum p,non-toxic
CMT_00109,mày còn dám ở tù cả đời tao không để yên đâu,toxic
CMT_00110,thấy mặt là không ưa nổi rồi,non-toxic
CMT_00111,tôi không_thể để cậu ấy rời clb là cầu_thủ hay nhất mọi thời_đại và đội bóng cần cậu ấy sở_hữu là một sự đảm_bảo thành_công,toxic
CMT_00112,không biết còn nhớ gì về đá banh không nữa,non-toxic
CMT_00113,tao cảnh_báo lần cuối gửi cho hr mày là mày xong,toxic
CMT_00114,đừng ép tao phải không ai tìm thấy tao không muốn vậy,toxic
CMT_00115,tao cảnh_báo lần cuối ai cũng biết là mày xong,toxic
CMT_00116,mày mà gặp nhau tại tòa nữa tao cho mày ra bã,toxic
CMT_00117,hình nó anh ấy cầm_hình nó về vứt bỏ,non-toxic
CMT_00118,mày còn dám ảnh_hưởng đến gia_đình đấy tao không để yên đâu,toxic
CMT_00119,sẵn đây em nói lun hôm bữa em có nhặt được cộng_lông ở nhà_nghỉ ac nào đánh_rơi thì tìm em em cho xin lại,non-toxic
CMT_00120,nói như vẹt xem mà phát chán,non-toxic
CMT_00121,đồng_ý với tất_cả các quan_điểm của bạn,non-toxic
CMT_00122,rất ngưỡng_mộ các ông chồng của cô này,non-toxic
CMT_00123,lạy bốn_mươi mấy năm giờ tôi mới thấy trường_hợp này,non-toxic
CMT_00124,sờ đến bố hay ông cố nhà m ad min,non-toxic
CMT_00125,trời ơi nhìn thấy bé quá nhỏ_nhắn nhưng đọc bài còn xót_xa hơn thời này do đủ đầy nên trẻ_em dậy_thì sớm thế mà con sống với cha_ruột lại bị ma t úy ăn mất phần cơm sữa nên lớp mà chỉ sao bù_đắp cho thiệt_thòi về thể_chất đây tàn_ác quá lấy sinh_mệnh ra đánh_cược bao năm để đạt được ước_mơ nhỏ_nhoi là sống_sót để về ở với bà pháp_luật lỏng lẽo quá,toxic
CMT_00126,cả và vin fat đều không đáng mua ở mức giá triệu rất nhiều xe tầm tiền tốt hơn hẳn bạn nên tìm_hiểu thêm đừng có rước hay se_dan nhìn hai chiếc xe chả ra làm_sao cả,non-toxic
CMT_00127,mới coi ví_dụ của anh nam rất ảnh luôn vì ảnh rất tôn_trọng phụ_nữ,non-toxic
CMT_00128,đúng là bà này có cái gì đó chập chập_hơi nặng tui tưởng chỉ tui thấy,non-toxic
CMT_00129,tuổi thanh_xuân của các đại_ca sẽ bắt_đầu trong trại rồi,non-toxic
CMT_00130,thực_phẩm bẩn tràn_lan trên thị_trường cơ_quan_chức_năng đang làm cái gì vậy,non-toxic
CMT_00131,họa vẽ tài_hoa tác_phẩm tuyệt_vời phải có hoa_tay và trí tưởng_tượng ghi_nhớ cao_siêu mới hình_tượng và vẽ chuẩn_đẹp như_vậy ham_học vẽ lắm nhưng bị giới_hạn nhiều mặt nê chỉ biết nghiên mình t hán_phục tài_hoa,non-toxic
CMT_00132,tao không đùa đâu không còn chỗ_đứng ngay bây_giờ,toxic
CMT_00133,nhìn mày mỏng_manh quá tao không nhịn được cười,toxic
CMT_00134,o ne_tứ tứ_kết hattrick tứ_tứ kết vậy tiếp_theo gọi_là gì tứ_kết nhỉ,non-toxic
CMT_00135,mỗi người mỗi cảm_nhận đừng ép nhau,non-toxic
CMT_00136,tao sẽ nhìn quanh xem có ai theo không mày cứ chờ đấy,toxic
CMT_00137,làm cho tới luôn nha_jac k ơi thấy em hiền nó ăn_híp nó trèo đầu cỡi cổ đụng_chạm fan em nữa kìa ủng_hộ jac_k và công_ty làm cho sáng_tỏ việc này bắt họ phải chịu trách_nhiệm về những phát_ngôn mà đã gây ra cho tất_cả mọi người,non-toxic
CMT_00138,khâu nguyên_liệu và thị_trường là giá_trị cốt_lõi và là tài_sản đảm_bảo của bất_cứ công_ty sản_xuất nào,non-toxic
CMT_00139,đừng ép tao phải ngồi xe_lăn tao không muốn vậy,toxic
CMT_00140,tài_năng bác học quá của mày đúng là hiếm có,toxic
CMT_00141,ly nguyen sợ thua_va thất_bại nóng_vội và b d không_thể bang hàng thật được,non-toxic
CMT_00142,lần này bỏ_qua lần sau dám nữa không thật đấy,toxic
CMT_00143,đó không phải là ý_kiến phản_biện đó là suy_luận không có cơ_sở,non-toxic
CMT_00144,nên cấm kĩ_thuật này với giải khuyết_tật,toxic
CMT_00145,nhìn anh mà xó_tai giúp được thì giúp đi,non-toxic
CMT_00146,khuyên mày đừng đu_fa me mà không nghe,toxic
CMT_00147,con_bé ghe đó đi tham_gia chương_trình chắc quên uống thuốc,toxic
CMT_00148,mày mà làm người_yêu mày bỏ nữa tao cho mày ra bã,toxic
CMT_00149,gu ru thật_sự thế_này ai sánh bằng mày,toxic
CMT_00150,thôi đừng làm màu nữa tội_nghiệp mày quá,toxic
CMT_00151,được hưởng phần bằng nhau vậy có công_bằng giữa những người được thừa_kế không luật_sư vì gia_đình đông con nhưng trách_nhiệm như chăm_sóc bố_mẹ khi về già thường được thoái_thác cho một người còn việc trả lễ_nghĩa giữa gia_đình với bà_con nội_ngoại còn nhiều vấn_đề khác nữa,toxic
CMT_00152,địt mẹ lũ chó bán nước_hại dân ăn nhiều cho mập thây,toxic
CMT_00153,lần này bỏ_qua lần sau làm mất tương_lai thật đấy,toxic
CMT_00154,nói với mấy loại không não mệt thật đúng đứa ngu_chơi với nhau đi học năm tính từ lớp mầm thì m học không quá lớp nói cấm có sai_học không quá nổi_học nên mới không hiểu những thuật_ngữ cơ_bản nhất xong cãi ngu,toxic
CMT_00155,mua được nhiều xe khác có tiện_ích và đông_cơ tốt hơn bản se dan ngon mới được,non-toxic
CMT_00156,tao thấy mày dễ vỡ ghê mà tội_nghiệp thật,toxic
CMT_00157,không ca nhiễm mới thật tuyệt_vời chúc_mừng việt_nam,non-toxic
CMT_00158,đó là lý_do t sao lạ_đít f ai về nhà đi mới thoái mai,non-toxic
CMT_00159,thêm tý nữa mua at1 ấy bản này mt đi không thích lắm người đã dùng năm cho biết và giờ đi w t,non-toxic
CMT_00160,cay nhỉ tiền_của mình lại toàn phải đưa vợ giữ mà xài như quỷ thì ai mà chịu nổi_phận làm trai khổ lắm,non-toxic
CMT_00161,không phải tự n_hiên mà họ nhiệt_tình mời bạn tham_gia mặc_dù bên đều có lợi nhưng bạn chỉ có còn lại của họ khi bạn thả lợn ra rồi đuổi thì xác_định bắt lại khó gấp chục lần bạn thả ra tôi chơi bao_hiểm một lần duy_nhất năm và đã hiểu nó thế_nào khuyên bạn hãy giử tiết_kiệm khi cần bạn rút bất_cứ lúc_nào hơn là khi cần mà cứ như mình đi xin dù đó là tiền mình,toxic
CMT_00162,khâm_phục mày não cá_vàng mà vẫn tự_tin thế,toxic
CMT_00163,ảnh_hưởng tới rất rất nhiều cô gái miền tây,non-toxic
CMT_00164,nên rút_tiền ra mua bất_động_sản bạn ạ nhưng nên mua ở hai dạng i người đang cư_trú có nhu_cầu chuyển đi và khu_vực đó không bị làm_giá thổi giá theo kiểu sắp có quy_án abc gì đó có k hả_năng duy_trì việc cư_trú sinh_hoạt kinh_doanh bình_thường hoặc ii tài_sản bị bán_đấu_giá ở khu_vực đáp_ứng điều_kiện i cái này bạn có_thể tìm thấy rất nhiều trên báo về lâu_dài giá đất ít giảm nếu không bị thổi và chỉ có chững lại rồi tăng bạn gửi tiết_kiệm lãi_suất ngân_hàng bị lạm_phát ăn_mòn gần hết và tiền gốc của bạn z cũng vậy bị yếu_tố lạm_phát và tăng_giá ăn hết bạn có_thể tìm các ví_dụ gần nhất xung_quanh mình về đầu_tư bất_động_sản dài_hạn trong hoặc năm sẽ thấy rõ,toxic
CMT_00165,mày mà chặt làm mấy khúc nữa tao cho mày ra bã,toxic
CMT_00166,đồ đớ p nó vừa thôi não thố i rồi à,toxic
CMT_00167,đã xấu rồi còn tỏ ra ngáo ngáo hẳn,toxic
CMT_00168,trình dram a_que en của mày đúng là đỉnh_cao,toxic
CMT_00169,mong nhà tiên_tri luôn_luôn khỏe mạnh tránh được dịch_bệnh,non-toxic
CMT_00170,tiết_kiệm xăng thì phải nhắc đến bạn nhé,non-toxic
CMT_00171,thực_tế là các công_ty đó còn rất nhiều cổ_đông nếu họ bị ảnh_hưởng quyền_lợi thì còn lâu mới làm được nhé,non-toxic
CMT_00172,cứ thế_này thì đừng trách tao lấy được toàn_bộ da ta,toxic
CMT_00173,tới bản_thân ông mà không giữ được nhiễm thì nói chi đến dân mỹ,non-toxic
CMT_00174,em phân_vân bản mt và at và cuối_cùng đã lựa bản mt mùa dịch mà giảm cả phí trước_bạ tốt quá,non-toxic
CMT_00175,tóc tiên thế_hệ còn hương_giang thế_hệ ai là vậy là z cũng vậy vậy có cái đúng cả,non-toxic
CMT_00176,không có biểu_tượng ha ha cho riêng cô gái ngồi ghế đỏ nhỉ,non-toxic
CMT_00177,bi_o viết như ceo mà thực_tế thất_nghiệp,non-toxic
CMT_00178,ngu mày chết con mẹ mày đi lồn lồn,toxic
CMT_00179,tao biết chỗ mày ở đấm chết là dễ thôi,toxic
CMT_00180,tiếng anh còn sai_ngữ mạch thì hay ăn_nói thì chả ra hệ_thống gì mà vẫn muốn đối_kháng tưởng mình là nạn_nhân,non-toxic
CMT_00181,bạn gửi file đính kèm giúp mình nhé,non-toxic
CMT_00182,cái lũ khốn_nạn này sao nó nhiều thế nhỉ,toxic
CMT_00183,cứ có hết da ta mày rồi đi tao sẽ làm mày hối_hận,toxic
CMT_00184,một_số pa_ge mới đầu có_vẻ hay nhưng sau đấy hơi bất_ổn,non-toxic
CMT_00185,quê tôi gọi_là con ốc chân cái tên rất đúng với con này,non-toxic
CMT_00186,chữ d lv có gì mà khiến bạn phải nhảy_dựng lên vậy,non-toxic
CMT_00187,cẩn_thận nhà_cửa tao có_thể biết đấm bất_cứ lúc_nào,toxic
CMT_00188,tu ôi là người đơn_giản chửi là tu_ôi li ke,non-toxic
CMT_00189,vừa tốt_nhỉ vừa tự_tin mày tài thật,toxic
CMT_00190,nói cho công_bằng thì khi nhìn kỷ thì khác nhau hoàn_toàn mà chỉ giống chữ sài_gòn còn lô gô hay phông chữ kiểu in trên lon đều khác,non-toxic
CMT_00191,cuộc_đời bạn chỉ đợi có vậy thôi đúng không kẻ thất_bại,non-toxic
CMT_00192,mày mà đến nhà tao phá nát cuộc_sống mày,toxic
CMT_00193,thế_hệ tương_lai mà cứ để bị ngộ_độc thế_này thật là nguy_hiểm,non-toxic
CMT_00194,thôi đừng lev el khác nhau nữa tội_nghiệp mày quá,toxic
CMT_00195,vua vịt đẹp thiệt con t hằn lằn xanh_đổi màu z cũng vậy đẹp,non-toxic
CMT_00196,gắn ngoại_ngữ vào nhu_cầu và sở_thích cá_nhân việc học sẽ dễ_dàng hơn rất nhiều cảm_ơn bạn_tùng bạn thật giỏi tôi sẽ cho bé nhà tôi đọc bài này để cháu có tấm gương phấn_đấu,non-toxic
CMT_00197,vừa rất khách_quan vừa tự_tin mày tài thật,toxic
CMT_00198,tự lập thật kiểu mày chắc là tren d mới nhỉ,toxic
CMT_00199,với hiện có theo em bác nên chọn bản mt tiêu_chuẩn mua về bác lắp các món sau anten_vây cá_mập cốp điện gập gương điện và camera hành_trình tích_hợp camera de thích lắp thêm cảm_biến z cũng vậy được đừng cố để rồi vay_mượn lại mắc nợ máy là kappa chung với mà p_ác biết doanh_số mỗi tháng đều đứng tốp thì động_cơ p ác khỏi lăn t ăn nhé,toxic
CMT_00200,quan_trọng là tâm_trạng nhà_đầu_tư chồng đi ngược quy_luật quá xa rồi cái giải_thích duy_nhất là thị_trường thế_giới quá tốt kéo_theo tâm_trang kỳ_vọng n dt thế thôi,non-toxic
CMT_00201,ít đăng bài tuần trước giờ em mất cứng_dồ ii,non-toxic
CMT_00202,con chó cỡ đó thì người_lớn z cũng vậy chạy không kịp tội_nghiệp cháu,non-toxic
CMT_00203,gặp tôi đã đốt quá nhiều sức công_nhận các cầu_thủ ar s khi hàng h v có bóng thì cuống_cuồng chuyền sợ cầm lâu làm mất bóng và khi không có bóng thì hàng công_đuổi theo bóng trong vô_vọng mà cảm_thấy thương v tốn sức quá,toxic
CMT_00204,các bạn trẻ đa_số thích là điều dễ hiểu trung_niên nếu chịu nghe z cũng vậy tìm thấy nhiều thú_vị ca từ rất ý_nghĩa phản_ảnh nhịp sống của giới trẻ cảm_nhận rõ sự sáng_tạo mạnh_mẽ trực_diện nghe đã lắm tôi,non-toxic
CMT_00205,cẩn_thận nhà_cửa tao có_thể đánh cho tơi_tê bất_cứ lúc_nào,toxic
CMT_00206,yêu cái cách bạn trình_bày lập_luận và tư_duy của bạn,non-toxic
CMT_00207,biết tao sẽ làm_gì không làm người_yêu mày bỏ ngay,toxic
CMT_00208,ngày_xưa thiết_kế các ct phải tham_khảo đỉnh lũ lịch_sử nay phải tham_khảo thêm đỉnh ngập lịch_sử,toxic
CMT_00209,sống ảo quá sẽ có lúc rất khó chấp_nhận hiện_thực,non-toxic
CMT_00210,bạn nữ cười ít_tho ii nhìn toàn thấy ngô,non-toxic
CMT_00211,việt_nam xe_hơi còn quá xa_hoa và đắt_đỏ nếu kinh_tế không ổn_định lương không đủ củ tháng thì đừng nghĩ đến việc mua xe đây chỉ là ý_kiến riêng em ai đồng quan_điểm thì li_ke nha,non-toxic
CMT_00212,mày lãng_phí thời_gian vậy ai dám gần,toxic
CMT_00213,ra đường mà không có rọ_móm gì cả nhỡ_cắn cái là tiêm mũi vào mông,non-toxic
CMT_00214,hơn năm rồi tôi chưa hề đụng tới miếng bánh_trung_thu nhìn thì không hấp_dẫn mà giá thì mắc còn loại rẻ thì thôi_nuốt không vô,non-toxic
CMT_00215,thua xa kiểu gì mà mày tự_tin thế,toxic
